Overall rank,Country or region,Score 2019,happy,Score 2015,GDP per capita,healthy_life_expectancy,freedom ,Corruption,Weather
1,Finland,7.769,1,7.406,1.29025,71,100,0.393,2.1
2,Denmark,7.6,1,7.527,1.32548,71,97,0.41,9
3,Norway,7.554,1,5.194,1.459,71.4,100,0.341,3.6
4,Iceland,7.494,1,4.565,1.30232,72,94,0.118,3.1
5,Netherlands,7.488,1,7.286,1.32944,71.4,99,0.298,11.2
6,Switzerland,7.48,1,7.587,1.39651,72.5,96,0.343,9.1
7,Sweden,7.343,1,7.364,1.33171,71.9,100,0.373,4.4
8,New Zealand,7.307,1,5.828,1.25018,70.2,98,0.38,13.4
9,Canada,7.278,1,7.427,1.32629,71.3,99,0.308,-1
10,Austria,7.246,1,7.2,1.33723,70.9,93,0.226,8.3
11,Australia,7.228,1,7.284,1.25018,70.9,98,0.29,21.8
12,Costa Rica,7.167,1,7.226,0.95578,70,91,0.093,23
13,Israel,7.139,1,5.948,1.22857,72.4,78,0.082,20.6
14,Luxembourg,7.09,1,5.007,1.56391,71.6,98,0.316,10.5
15,United Kingdom,7.054,1,6.867,1.26637,70.1,93,0.278,10
16,Ireland,7.021,1,7.278,1.33596,71.1,97,0.31,9.4
17,Germany,6.985,1,4.633,1.32792,70.9,94,0.265,10.3
18,Belgium,6.923,1,6.937,1.30782,70.6,96,0.21,10.7
19,United States,6.892,1,7.119,1.39451,66.1,86,0.128,11
20,Czech Republic,6.852,1,6.505,1.17898,68.8,91,0.036,9
21,United Arab Emirates,6.825,1,6.901,1.42727,66,17,0.182,28.3
22,Malta,6.726,1,6.302,1.2074,71.5,91,0.151,19.2
23,Mexico,6.595,1,7.187,1.02054,65.8,63,0.073,20
24,France,6.592,1,6.575,1.27778,72.1,90,0.183,13.6
25,Taiwan,6.446,1,6.298,1.29098,,93,0.097,23.4
26,Chile,6.444,1,6.67,1.10715,70,94,0.056,14.8
27,Guatemala,6.436,1,3.656,0.74553,62.3,53,0.078,22.6
28,Saudi Arabia,6.375,1,3.904,1.39541,64,7,0.132,27.4
29,Qatar,6.374,1,5.124,1.69042,67.1,25,0.167,28.9
30,Spain,6.354,1,4.55,1.23011,72.1,94,0.079,15.9
31,Panama,6.321,1,5.878,1.06353,68.7,84,0.054,26
32,Brazil,6.3,1,6.983,0.98124,65.4,75,0.086,24.4
33,Uruguay,6.293,1,6.485,1.06166,67.5,98,0.15,18.6
34,Singapore,6.262,1,5.995,1.52186,73.6,51,0.453,27.9
35,El Salvador,6.253,1,6.13,0.76454,64.9,67,0.074,25.3
36,Italy,6.223,1,3.655,1.25114,71.9,89,0.03,15.3
37,Bahrain,6.199,1,5.96,1.32376,65.9,12,0.11,27.3
38,Slovakia,6.198,1,5.848,1.16891,68.5,88,0.014,9.5
39,Trinidad & Tobago,6.192,1,6.168,1.21183,66.2,82,0.016,27.1
40,Poland,6.182,1,5.102,1.12555,68.7,84,0.05,8.6
41,Uzbekistan,6.174,1,6.003,0.63244,64.7,9,0.24,13.2
42,Lithuania,6.149,1,6.946,1.14723,66.7,91,0.042,8
43,Colombia,6.125,1,6.477,0.91861,69,66,0.034,24.6
44,Slovenia,6.118,1,5.057,1.18498,70.7,94,0.057,10.1
45,Nicaragua,6.105,1,3.845,0.59325,65.5,32,0.127,26.5
46,Kosovo,6.1,1,6.295,0.80148,,54,0.006,10.3
47,Argentina,6.086,1,6.574,1.05351,67.1,84,0.05,16
48,Romania,6.07,1,5.716,1.04345,66.8,81,0.005,10.6
49,Cyprus,6.046,1,5.689,1.20813,72.4,94,0.041,19
50,Ecuador,6.028,1,5.975,0.89179,68.5,63,0.087,21.8
51,Kuwait,6.021,1,5.286,1.61714,70.1,36,0.097,27.7
52,Thailand,6.008,1,6.455,0.91111,68.3,30,0.028,27.4
53,Latvia,5.94,1,4.839,1.11312,66.2,87,0.064,8.4
54,South Korea,5.895,1,6.329,1.24461,73.1,83,0.056,13.4
55,Estonia,5.893,1,5.429,1.15174,69.2,94,0.161,7.5
56,Jamaica,5.89,1,5.987,0.77808,66.6,78,0.028,27.4
57,Mauritius,5.888,1,5.477,1.00761,63.9,89,0.06,23.6
58,Japan,5.886,1,5.192,1.29168,74.1,96,0.14,15.4
59,Honduras,5.86,1,5.474,0.61515,63,46,0.078,24.8
60,Kazakhstan,5.809,1,4.419,1.12254,65,22,0.096,8.6
61,Bolivia,5.779,1,5.89,0.79422,63.3,67,0.064,20.4
62,Hungary,5.758,1,7.561,1.12094,67.2,70,0.02,11
63,Paraguay,5.743,1,5.824,0.8743,65.8,65,0.08,23
64,Northern Cyprus,5.718,1,6.853,1.26328,,81,0.162,18.6
65,Peru,5.697,1,5.073,0.95774,69.5,73,0.027,20.7
66,Portugal,5.693,1,6.611,1.18538,71,96,0.025,16.5
67,Pakistan,5.653,1,4.715,0.59543,56.9,39,0.098,23.7
68,Russia,5.648,1,3.465,1.15137,64.2,20,0.031,-1.2
69,Philippines,5.631,1,5.791,0.70532,62,61,0.107,27.2
70,Serbia,5.603,1,4.507,0.97524,66.9,67,0.039,11.4
71,Moldova,5.529,1,5.889,0.59448,64.5,58,0,10.3
72,Libya,5.525,1,5.833,1.13145,65.2,9,0.152,21.8
73,Montenegro,5.523,1,5.192,1.08032,67,65,0.08,12.5
74,Tajikistan,5.467,1,4.786,0.43662,62,9,0.144,13.1
75,Croatia,5.432,1,5.759,1.1466,68.6,85,0.022,14.2
76,Hong Kong,5.43,1,4.8,1.5107,,59,0.287,24.2
77,Dominican Republic,5.425,1,4.885,0.9838,64,67,0.101,26.7
